Run	Short	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	BREED	Bytes	Center Name	Consent	Cultivar	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Ecotype	Experiment	Instrument	isolate	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	sex	specimen	SRA Study	strain	tissue	sub_species
SRR9686329	Permic	RNA-Seq	126	1162498554	PRJNA552202	SAMN12247894	Model organism or animal	not applicable	618027093	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445922	Illumina HiSeq 2500	not applicable	Permic_MUD1_LYI5_AD_M	SINGLE	unspecified	TRANSCRIPTOMIC	Perissodus microlepis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	Permic_MUD1_LYI5_AD_M	male	Permic_MUD1_LYI5_AD_M	SRP214209	not applicable	gonads	
SRR9686330	Permic	RNA-Seq	126	2029175442	PRJNA552202	SAMN12247893	Model organism or animal	not applicable	1094683237	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445921	Illumina HiSeq 2500	not applicable	Permic_MUD1_LYI4_VE_M	SINGLE	unspecified	TRANSCRIPTOMIC	Perissodus microlepis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:31:00Z	1	Permic_MUD1_LYI4_VE_M	male	Permic_MUD1_LYI4_VE_M	SRP214209	not applicable	liver	
SRR9686331	Permic	RNA-Seq	126	1284755724	PRJNA552202	SAMN12247896	Model organism or animal	not applicable	724936440	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445920	Illumina HiSeq 2500	not applicable	Permic_MUD1_LYI7_LP_M	SINGLE	unspecified	TRANSCRIPTOMIC	Perissodus microlepis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:29:00Z	1	Permic_MUD1_LYI7_LP_M	male	Permic_MUD1_LYI7_LP_M	SRP214209	not applicable	lpj	
SRR9686332	Permic	RNA-Seq	126	1814614704	PRJNA552202	SAMN12247895	Model organism or animal	not applicable	1041652654	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445919	Illumina HiSeq 2500	not applicable	Permic_MUD1_LYI6_GI_M	SINGLE	unspecified	TRANSCRIPTOMIC	Perissodus microlepis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:31:00Z	1	Permic_MUD1_LYI6_GI_M	male	Permic_MUD1_LYI6_GI_M	SRP214209	not applicable	gills	
SRR9686333	Permic	RNA-Seq	126	2043162954	PRJNA552202	SAMN12247902	Model organism or animal	not applicable	1074501788	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445918	Illumina HiSeq 2500	not applicable	Permic_MUG9_LUD3_BR_F	SINGLE	unspecified	TRANSCRIPTOMIC	Perissodus microlepis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:27:00Z	1	Permic_MUG9_LUD3_BR_F	female	Permic_MUG9_LUD3_BR_F	SRP214209	not applicable	brain	
SRR9686334	Permic	RNA-Seq	126	1321426890	PRJNA552202	SAMN12247901	Model organism or animal	not applicable	733784182	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445917	Illumina HiSeq 2500	not applicable	Permic_MUG9_LUC9_LP_F	SINGLE	unspecified	TRANSCRIPTOMIC	Perissodus microlepis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:29:00Z	1	Permic_MUG9_LUC9_LP_F	female	Permic_MUG9_LUC9_LP_F	SRP214209	not applicable	lpj	
SRR9686335	PcybrN	RNA-Seq	126	1402396884	PRJNA552202	SAMN12247838	Model organism or animal	not applicable	759973324	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445916	Illumina HiSeq 2500	not applicable	PcybrN_MVD2_OIF5_BR_M	SINGLE	unspecified	TRANSCRIPTOMIC	Paracyprichromis brieni	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:27:00Z	1	PcybrN_MVD2_OIF5_BR_M	male	PcybrN_MVD2_OIF5_BR_M	SRP214209	not applicable	brain	
SRR9686336	PcybrN	RNA-Seq	126	1314537336	PRJNA552202	SAMN12247837	Model organism or animal	not applicable	695897088	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445915	Illumina HiSeq 2500	not applicable	PcybrN_MVD2_OIF4_LP_M	SINGLE	unspecified	TRANSCRIPTOMIC	Paracyprichromis brieni	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:27:00Z	1	PcybrN_MVD2_OIF4_LP_M	male	PcybrN_MVD2_OIF4_LP_M	SRP214209	not applicable	lpj	
SRR9686337	PcybrN	RNA-Seq	126	1124137980	PRJNA552202	SAMN12247840	Model organism or animal	not applicable	550196599	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445914	Illumina HiSeq 2500	not applicable	PcybrN_MVD3_OIG3_AD_F	SINGLE	unspecified	TRANSCRIPTOMIC	Paracyprichromis brieni	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	PcybrN_MVD3_OIG3_AD_F	female	PcybrN_MVD3_OIG3_AD_F	SRP214209	not applicable	gonads	
SRR9686338	PcybrN	RNA-Seq	126	1229673060	PRJNA552202	SAMN12247839	Model organism or animal	not applicable	678788211	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445913	Illumina HiSeq 2500	not applicable	PcybrN_MVD3_OIG2_VE_F	SINGLE	unspecified	TRANSCRIPTOMIC	Paracyprichromis brieni	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:27:00Z	1	PcybrN_MVD3_OIG2_VE_F	female	PcybrN_MVD3_OIG2_VE_F	SRP214209	not applicable	liver	
SRR9686339	PcybrN	RNA-Seq	126	1195773516	PRJNA552202	SAMN12247834	Model organism or animal	not applicable	651881156	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445912	Illumina HiSeq 2500	not applicable	PcybrN_MVD2_OIF1_VE_M	SINGLE	unspecified	TRANSCRIPTOMIC	Paracyprichromis brieni	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	PcybrN_MVD2_OIF1_VE_M	male	PcybrN_MVD2_OIF1_VE_M	SRP214209	not applicable	liver	
SRR9686340	PcybrN	RNA-Seq	126	1387940274	PRJNA552202	SAMN12247833	Model organism or animal	not applicable	750546882	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445911	Illumina HiSeq 2500	not applicable	PcybrN_JXI5_KPH5_BR_F	SINGLE	unspecified	TRANSCRIPTOMIC	Paracyprichromis brieni	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:27:00Z	1	PcybrN_JXI5_KPH5_BR_F	female	PcybrN_JXI5_KPH5_BR_F	SRP214209	not applicable	brain	
SRR9686341	PcybrN	RNA-Seq	126	1730448342	PRJNA552202	SAMN12247836	Model organism or animal	not applicable	960798637	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445910	Illumina HiSeq 2500	not applicable	PcybrN_MVD2_OIF3_GI_M	SINGLE	unspecified	TRANSCRIPTOMIC	Paracyprichromis brieni	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:28:00Z	1	PcybrN_MVD2_OIF3_GI_M	male	PcybrN_MVD2_OIF3_GI_M	SRP214209	not applicable	gills	
SRR9686342	PcybrN	RNA-Seq	126	1048668516	PRJNA552202	SAMN12247835	Model organism or animal	not applicable	569359347	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445909	Illumina HiSeq 2500	not applicable	PcybrN_MVD2_OIF2_AD_M	SINGLE	unspecified	TRANSCRIPTOMIC	Paracyprichromis brieni	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	PcybrN_MVD2_OIF2_AD_M	male	PcybrN_MVD2_OIF2_AD_M	SRP214209	not applicable	gonads	
SRR9686343	PcybrN	RNA-Seq	126	3730335714	PRJNA552202	SAMN12247842	Model organism or animal	not applicable	1819532414	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445908	Illumina HiSeq 2500	not applicable	PcybrN_MVD3_OIG5_LP_F	SINGLE	unspecified	TRANSCRIPTOMIC	Paracyprichromis brieni	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:31:00Z	1	PcybrN_MVD3_OIG5_LP_F	female	PcybrN_MVD3_OIG5_LP_F	SRP214209	not applicable	lpj	
SRR9686344	PcybrN	RNA-Seq	126	1360229220	PRJNA552202	SAMN12247841	Model organism or animal	not applicable	739629577	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445907	Illumina HiSeq 2500	not applicable	PcybrN_MVD3_OIG4_GI_F	SINGLE	unspecified	TRANSCRIPTOMIC	Paracyprichromis brieni	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:27:00Z	1	PcybrN_MVD3_OIG4_GI_F	female	PcybrN_MVD3_OIG4_GI_F	SRP214209	not applicable	gills	
SRR9686345	Ophven	RNA-Seq	126	1188923022	PRJNA552202	SAMN12247781	Model organism or animal	not applicable	581740299	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445906	Illumina HiSeq 2500	not applicable	Ophven_MUI8_LWD9_GI_M	SINGLE	unspecified	TRANSCRIPTOMIC	Ophthalmotilapia ventralis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	Ophven_MUI8_LWD9_GI_M	male	Ophven_MUI8_LWD9_GI_M	SRP214209	not applicable	gills	
SRR9686346	Ophven	RNA-Seq	126	1329582996	PRJNA552202	SAMN12247782	Model organism or animal	not applicable	690006973	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445905	Illumina HiSeq 2500	not applicable	Ophven_MUI8_LWE1_LP_M	SINGLE	unspecified	TRANSCRIPTOMIC	Ophthalmotilapia ventralis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	Ophven_MUI8_LWE1_LP_M	male	Ophven_MUI8_LWE1_LP_M	SRP214209	not applicable	lpj	
SRR9686347	Ophven	RNA-Seq	126	1115321508	PRJNA552202	SAMN12247773	Model organism or animal	not applicable	581917567	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445904	Illumina HiSeq 2500	not applicable	Ophven_LNB7_MBF2_LP_M	SINGLE	unspecified	TRANSCRIPTOMIC	Ophthalmotilapia ventralis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	Ophven_LNB7_MBF2_LP_M	male	Ophven_LNB7_MBF2_LP_M	SRP214209	not applicable	lpj	
SRR9686348	Ophven	RNA-Seq	126	1244577726	PRJNA552202	SAMN12247774	Model organism or animal	not applicable	612952098	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445903	Illumina HiSeq 2500	not applicable	Ophven_LNB7_MBF5_BR_M	SINGLE	unspecified	TRANSCRIPTOMIC	Ophthalmotilapia ventralis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:27:00Z	1	Ophven_LNB7_MBF5_BR_M	male	Ophven_LNB7_MBF5_BR_M	SRP214209	not applicable	brain	
SRR9686349	Ophven	RNA-Seq	126	1509280290	PRJNA552202	SAMN12247775	Model organism or animal	not applicable	758453525	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445902	Illumina HiSeq 2500	not applicable	Ophven_MUH6_LVA6_VE_F	SINGLE	unspecified	TRANSCRIPTOMIC	Ophthalmotilapia ventralis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:27:00Z	1	Ophven_MUH6_LVA6_VE_F	female	Ophven_MUH6_LVA6_VE_F	SRP214209	not applicable	liver	
SRR9686350	Ophven	RNA-Seq	126	1154223504	PRJNA552202	SAMN12247776	Model organism or animal	not applicable	581279114	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445901	Illumina HiSeq 2500	not applicable	Ophven_MUH6_LVA7_AD_F	SINGLE	unspecified	TRANSCRIPTOMIC	Ophthalmotilapia ventralis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	Ophven_MUH6_LVA7_AD_F	female	Ophven_MUH6_LVA7_AD_F	SRP214209	not applicable	gonads	
SRR9686351	Ophven	RNA-Seq	126	1175591970	PRJNA552202	SAMN12247777	Model organism or animal	not applicable	603447976	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445900	Illumina HiSeq 2500	not applicable	Ophven_MUH6_LVA8_GI_F	SINGLE	unspecified	TRANSCRIPTOMIC	Ophthalmotilapia ventralis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	Ophven_MUH6_LVA8_GI_F	female	Ophven_MUH6_LVA8_GI_F	SRP214209	not applicable	gills	
SRR9686352	Ophven	RNA-Seq	126	1427985090	PRJNA552202	SAMN12247778	Model organism or animal	not applicable	730599476	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445899	Illumina HiSeq 2500	not applicable	Ophven_MUH6_LVA9_LP_F	SINGLE	unspecified	TRANSCRIPTOMIC	Ophthalmotilapia ventralis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:28:00Z	1	Ophven_MUH6_LVA9_LP_F	female	Ophven_MUH6_LVA9_LP_F	SRP214209	not applicable	lpj	
SRR9686353	Ophven	RNA-Seq	126	1158902262	PRJNA552202	SAMN12247779	Model organism or animal	not applicable	586693579	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445898	Illumina HiSeq 2500	not applicable	Ophven_MUH6_LVB1_BR_F	SINGLE	unspecified	TRANSCRIPTOMIC	Ophthalmotilapia ventralis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	Ophven_MUH6_LVB1_BR_F	female	Ophven_MUH6_LVB1_BR_F	SRP214209	not applicable	brain	
SRR9686354	Ophven	RNA-Seq	126	1250432946	PRJNA552202	SAMN12247780	Model organism or animal	not applicable	650380005	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445897	Illumina HiSeq 2500	not applicable	Ophven_MUI8_LWD8_VE_M	SINGLE	unspecified	TRANSCRIPTOMIC	Ophthalmotilapia ventralis	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	Ophven_MUI8_LWD8_VE_M	male	Ophven_MUI8_LWD8_VE_M	SRP214209	not applicable	liver	
SRR9686355	Peteph	RNA-Seq	126	1046097234	PRJNA552202	SAMN12247923	Model organism or animal	not applicable	536853957	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445896	Illumina HiSeq 2500	not applicable	Peteph_LPE5_NDC9_AD_M	SINGLE	unspecified	TRANSCRIPTOMIC	Petrochromis trewavasae ephippium	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	Peteph_LPE5_NDC9_AD_M	male	Peteph_LPE5_NDC9_AD_M	SRP214209	not applicable	gonads	ephippium
SRR9686356	Peteph	RNA-Seq	126	1351133784	PRJNA552202	SAMN12247924	Model organism or animal	not applicable	745224755	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445895	Illumina HiSeq 2500	not applicable	Peteph_LPE5_NDD1_GI_M	SINGLE	unspecified	TRANSCRIPTOMIC	Petrochromis trewavasae ephippium	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	Peteph_LPE5_NDD1_GI_M	male	Peteph_LPE5_NDD1_GI_M	SRP214209	not applicable	gills	ephippium
SRR9686357	Peteph	RNA-Seq	126	1264343094	PRJNA552202	SAMN12247925	Model organism or animal	not applicable	688823133	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445894	Illumina HiSeq 2500	not applicable	Peteph_LPE5_NDD2_LP_M	SINGLE	unspecified	TRANSCRIPTOMIC	Petrochromis trewavasae ephippium	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	Peteph_LPE5_NDD2_LP_M	male	Peteph_LPE5_NDD2_LP_M	SRP214209	not applicable	lpj	ephippium
SRR9686358	Peteph	RNA-Seq	126	1127026404	PRJNA552202	SAMN12247926	Model organism or animal	not applicable	585966817	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445893	Illumina HiSeq 2500	not applicable	Peteph_LPE5_NDD3_BR_M	SINGLE	unspecified	TRANSCRIPTOMIC	Petrochromis trewavasae ephippium	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:26:00Z	1	Peteph_LPE5_NDD3_BR_M	male	Peteph_LPE5_NDD3_BR_M	SRP214209	not applicable	brain	ephippium
SRR9686359	Peteph	RNA-Seq	126	2618744310	PRJNA552202	SAMN12247927	Model organism or animal	not applicable	1454916750	UNIVERSITY OF BASEL	public	not applicable	"fastq,run.zq,sra"	"gs,ncbi,s3"	"gs.us-east1,ncbi.public,s3.us-east-1"	adult	not applicable	SRX6445892	Illumina HiSeq 2500	not applicable	Peteph_LPI6_NHI4_VE_M	SINGLE	unspecified	TRANSCRIPTOMIC	Petrochromis trewavasae ephippium	ILLUMINA	2020-11-02T00:00:00Z	2019-07-15T15:29:00Z	1	Peteph_LPI6_NHI4_VE_M	male	Peteph_LPI6_NHI4_VE_M	SRP214209	not applicable	liver	ephippium
